privilege_type,privilege_subcat,privilege_name,points_required,privilege_reserve_infinite_flg,privilege_url,reason,privilege_rank,rag
เอกสิทธิ์สำหรับผู้ถือบัตรเครดิต,General Payment,สิทธิพิเศษแบ่งชำระรายเดือนพิเศษ 0% นาน 6 เดือน สำหรับการซื้อผลิตภัณฑ์ของ บริษัท ธนชาตประกันภัย จำกัด (มหาชน) บริษัท ทหารไทยธนชาตโบรกเกอร์ จำกัด และบริษัท พรูเด็นเชียล ประกันชีวิต (ประเทศไทย) จำกัด (มหาชน),0.0,1,https://www.ttbbank.com/th/ttb-reserve/privilege/infinite#infinite-section3,"ลูกค้ามีใช้จ่ายในหมวดหมู่ LIFE INSURANCE, NON-LIFE INSURANCE ใน 6 เดือน",1,"ลูกค้าควรได้สิทธิประโยชน์หรือ privillage :สิทธิพิเศษแบ่งชำระรายเดือนพิเศษ 0% นาน 6 เดือน สำหรับการซื้อผลิตภัณฑ์ของ บริษัท ธนชาตประกันภัย จำกัด (มหาชน) บริษัท ทหารไทยธนชาตโบรกเกอร์ จำกัด และบริษัท พรูเด็นเชียล ประกันชีวิต (ประเทศไทย) จำกัด (มหาชน)ซึ่งอยู่ในหมวดหมู่General Paymentเป็นสิทธิประโยชน์ประเภทเอกสิทธิ์สำหรับผู้ถือบัตรเครดิตเนื่องด้วยลูกค้ามีใช้จ่ายในหมวดหมู่ LIFE INSURANCE, NON-LIFE INSURANCE ใน 6 เดือนต้องใช้คะแนนทั้งหมด0.0ดูรายละเอียดได้ที่https://www.ttbbank.com/th/ttb-reserve/privilege/infinite#infinite-section3"
เอกสิทธิ์สำหรับผู้ถือบัตรเครดิต,Hotel & Travel,สะสมไมล์การบินไทย ทุก 3 คะแนน แลกไมล์การบินไทยได้ 1 ไมล์ จากปกติ 5 คะแนน แลกได้ 1 ไมล์,0.0,1,https://www.ttbbank.com/th/ttb-reserve/travel-with-ttbreserve-dec24,ลูกค้ามีใช้จ่ายในหมวดหมู่ RESTAURANT PHYSICAL - INTERNATIONAL ใน 6 เดือน,2,ลูกค้าควรได้สิทธิประโยชน์หรือ privillage :สะสมไมล์การบินไทย ทุก 3 คะแนน แลกไมล์การบินไทยได้ 1 ไมล์ จากปกติ 5 คะแนน แลกได้ 1 ไมล์ซึ่งอยู่ในหมวดหมู่Hotel & Travelเป็นสิทธิประโยชน์ประเภทเอกสิทธิ์สำหรับผู้ถือบัตรเครดิตเนื่องด้วยลูกค้ามีใช้จ่ายในหมวดหมู่ RESTAURANT PHYSICAL - INTERNATIONAL ใน 6 เดือนต้องใช้คะแนนทั้งหมด0.0ดูรายละเอียดได้ที่https://www.ttbbank.com/th/ttb-reserve/travel-with-ttbreserve-dec24
เอกสิทธิ์สำหรับผู้ถือบัตรเครดิต,International Payment,ฟรีค่าความเสี่ยงจากการแปลงสกุลเงินตราต่างประเทศ 2.5%,0.0,1,https://www.ttbbank.com/th/ttb-reserve/privilege/infinite#infinite-section3,ลูกค้ามีใช้แต้มแลกในหมวดหมู่ TRAVEL ใน 1 ปี,3,ลูกค้าควรได้สิทธิประโยชน์หรือ privillage :ฟรีค่าความเสี่ยงจากการแปลงสกุลเงินตราต่างประเทศ 2.5%ซึ่งอยู่ในหมวดหมู่International Paymentเป็นสิทธิประโยชน์ประเภทเอกสิทธิ์สำหรับผู้ถือบัตรเครดิตเนื่องด้วยลูกค้ามีใช้แต้มแลกในหมวดหมู่ TRAVEL ใน 1 ปีต้องใช้คะแนนทั้งหมด0.0ดูรายละเอียดได้ที่https://www.ttbbank.com/th/ttb-reserve/privilege/infinite#infinite-section3
เอกสิทธิ์สำหรับผู้ถือบัตรเครดิต,Hotel & Travel,บริการห้องรับรองพิเศษ Airport Lounge (LoungeKey) ณ สนามบินทั่งโลก จำนวน 2 ครั้ง/ปีปฏิทิน,0.0,1,https://www.ttbbank.com/th/ttb-reserve/privilege/infinite#infinite-section3,ลูกค้ามีใช้จ่ายในหมวดหมู่ RESTAURANT PHYSICAL - INTERNATIONAL ใน 6 เดือน,4,ลูกค้าควรได้สิทธิประโยชน์หรือ privillage :บริการห้องรับรองพิเศษ Airport Lounge (LoungeKey) ณ สนามบินทั่งโลก จำนวน 2 ครั้ง/ปีปฏิทินซึ่งอยู่ในหมวดหมู่Hotel & Travelเป็นสิทธิประโยชน์ประเภทเอกสิทธิ์สำหรับผู้ถือบัตรเครดิตเนื่องด้วยลูกค้ามีใช้จ่ายในหมวดหมู่ RESTAURANT PHYSICAL - INTERNATIONAL ใน 6 เดือนต้องใช้คะแนนทั้งหมด0.0ดูรายละเอียดได้ที่https://www.ttbbank.com/th/ttb-reserve/privilege/infinite#infinite-section3
เอกสิทธิ์สำหรับผู้ถือบัตรเครดิต,Hotel & Travel,"บริการแผนประกันภัยการเดินทางทั้งครอบครัว ทั้งในประเทศและต่างประเทศ วงเงินคุ้มครองสูงสุด 16,000,000 เมื่อชำระค่าโดยสารและตั๋วเดินทาง หรือค่าแพกเกจทัวร์ ด้วยบัตรเครดิต ttb reserve",0.0,1,https://www.ttbbank.com/th/ttb-reserve/privilege/infinite#infinite-section3,ลูกค้ามีใช้แต้มแลกในหมวดหมู่ TRAVEL ใน 1 ปี,5,"ลูกค้าควรได้สิทธิประโยชน์หรือ privillage :บริการแผนประกันภัยการเดินทางทั้งครอบครัว ทั้งในประเทศและต่างประเทศ วงเงินคุ้มครองสูงสุด 16,000,000 เมื่อชำระค่าโดยสารและตั๋วเดินทาง หรือค่าแพกเกจทัวร์ ด้วยบัตรเครดิต ttb reserveซึ่งอยู่ในหมวดหมู่Hotel & Travelเป็นสิทธิประโยชน์ประเภทเอกสิทธิ์สำหรับผู้ถือบัตรเครดิตเนื่องด้วยลูกค้ามีใช้แต้มแลกในหมวดหมู่ TRAVEL ใน 1 ปีต้องใช้คะแนนทั้งหมด0.0ดูรายละเอียดได้ที่https://www.ttbbank.com/th/ttb-reserve/privilege/infinite#infinite-section3"
เอกสิทธิ์สำหรับผู้ถือบัตรเครดิต,General Payment,รับคะแนนสะสม ทุกการใช้จ่าย 10 บาททั้งในและต่างประเทศ,0.0,1,https://www.ttbbank.com/th/ttb-reserve/privilege/infinite#infinite-section3,สิทธิ์รับคะแนนสะสมของลูกค้าที่มีบัตร Reserve,6,ลูกค้าควรได้สิทธิประโยชน์หรือ privillage :รับคะแนนสะสม ทุกการใช้จ่าย 10 บาททั้งในและต่างประเทศซึ่งอยู่ในหมวดหมู่General Paymentเป็นสิทธิประโยชน์ประเภทเอกสิทธิ์สำหรับผู้ถือบัตรเครดิตเนื่องด้วยสิทธิ์รับคะแนนสะสมของลูกค้าที่มีบัตร Reserveต้องใช้คะแนนทั้งหมด0.0ดูรายละเอียดได้ที่https://www.ttbbank.com/th/ttb-reserve/privilege/infinite#infinite-section3
เอกสิทธิ์สำหรับผู้ถือบัตรเครดิต,General Payment,รับคะแนนสะสม 2 เท่า สำหรับการใช้จ่ายออนไลน์หรือชำระค่ารักษาพยาบาลที่โรงพยาบาลชั้นนำ,0.0,1,https://www.ttbbank.com/th/ttb-reserve/privilege/infinite#infinite-section3,"ลูกค้ามีใช้จ่ายในหมวดหมู่ ONLINE, DIGITAL, TRAVEL BOOKING PLATFORM & TRAVEL AGENT ใน 6 เดือน",7,"ลูกค้าควรได้สิทธิประโยชน์หรือ privillage :รับคะแนนสะสม 2 เท่า สำหรับการใช้จ่ายออนไลน์หรือชำระค่ารักษาพยาบาลที่โรงพยาบาลชั้นนำซึ่งอยู่ในหมวดหมู่General Paymentเป็นสิทธิประโยชน์ประเภทเอกสิทธิ์สำหรับผู้ถือบัตรเครดิตเนื่องด้วยลูกค้ามีใช้จ่ายในหมวดหมู่ ONLINE, DIGITAL, TRAVEL BOOKING PLATFORM & TRAVEL AGENT ใน 6 เดือนต้องใช้คะแนนทั้งหมด0.0ดูรายละเอียดได้ที่https://www.ttbbank.com/th/ttb-reserve/privilege/infinite#infinite-section3"
เอกสิทธิ์ใช้คะแนนแลกของกำนัลพิเศษ,Hotel & Travel,แลกรับบริการรถลีมูซีน รับ - ส่ง สนามบิน 1 เที่ยว,50000.0,1,https://www.ttbbank.com/th/ttb-reserve/rewards-limousine-bmw-series7,ลูกค้ามีใช้แต้มแลกในหมวดหมู่ TRAVEL ใน 1 ปี,1,ลูกค้าควรได้สิทธิประโยชน์หรือ privillage :แลกรับบริการรถลีมูซีน รับ - ส่ง สนามบิน 1 เที่ยวซึ่งอยู่ในหมวดหมู่Hotel & Travelเป็นสิทธิประโยชน์ประเภทเอกสิทธิ์ใช้คะแนนแลกของกำนัลพิเศษเนื่องด้วยลูกค้ามีใช้แต้มแลกในหมวดหมู่ TRAVEL ใน 1 ปีต้องใช้คะแนนทั้งหมด50000.0ดูรายละเอียดได้ที่https://www.ttbbank.com/th/ttb-reserve/rewards-limousine-bmw-series7
เอกสิทธิ์ใช้คะแนนแลกของกำนัลพิเศษ,Sport & Leisure,บริการฟิตเนสรายเดือน (1 เดือน) ณ The Olympic Club,44000.0,1,https://www.ttbbank.com/th/ttb-reserve/sport-leisure04,ลูกค้ามีใช้จ่ายในหมวดหมู่ HEALTH FITNESS ใน 6 เดือน,2,ลูกค้าควรได้สิทธิประโยชน์หรือ privillage :บริการฟิตเนสรายเดือน (1 เดือน) ณ The Olympic Clubซึ่งอยู่ในหมวดหมู่Sport & Leisureเป็นสิทธิประโยชน์ประเภทเอกสิทธิ์ใช้คะแนนแลกของกำนัลพิเศษเนื่องด้วยลูกค้ามีใช้จ่ายในหมวดหมู่ HEALTH FITNESS ใน 6 เดือนต้องใช้คะแนนทั้งหมด44000.0ดูรายละเอียดได้ที่https://www.ttbbank.com/th/ttb-reserve/sport-leisure04
เอกสิทธิ์ใช้คะแนนแลกของกำนัลพิเศษ,Sport & Leisure,บริการกรีนฟี 18 หลุม และรถกอล์ฟ พร้อมแคดดี้ สำหรับ 1 ท่าน ณ Riverdale Golf Club,39000.0,1,https://www.ttbbank.com/th/ttb-reserve/sport-leisure01,ลูกค้ามีใช้จ่ายในหมวดหมู่ HEALTH FITNESS ใน 6 เดือน,3,ลูกค้าควรได้สิทธิประโยชน์หรือ privillage :บริการกรีนฟี 18 หลุม และรถกอล์ฟ พร้อมแคดดี้ สำหรับ 1 ท่าน ณ Riverdale Golf Clubซึ่งอยู่ในหมวดหมู่Sport & Leisureเป็นสิทธิประโยชน์ประเภทเอกสิทธิ์ใช้คะแนนแลกของกำนัลพิเศษเนื่องด้วยลูกค้ามีใช้จ่ายในหมวดหมู่ HEALTH FITNESS ใน 6 เดือนต้องใช้คะแนนทั้งหมด39000.0ดูรายละเอียดได้ที่https://www.ttbbank.com/th/ttb-reserve/sport-leisure01
